,Topic,Category,Agencies,Dodd-Frank Section,Citation,Regulator Summary,Timeline,Final Rule,Proposed Rule / ANPR,Related Tracker Rows,Associated Rulemap,Doc ID
10,Annual Stress Tests,Systemic Risk Regulation,FDIC,165(i),"12 CFR Part 325
RIN 3064-AD91","The FDIC is issuing a final rule that implements the requirements in Section 165(i) of the Dodd-Frank Act regarding stress tests. Section 165(i)(2) requires the FDIC to issue regulations that require FDIC-insured state nonmember banks and FDIC-insured state-chartered savings associations with total consolidated assets of more than $10 billion to conduct annual stress tests, report the results of such stress tests to the FDIC and the Federal Reserve, and publish a summary of the results of the required stress tests. The final rule requires large covered banks to conduct annual stress tests beginning on the effective date of this final rule. The FDIC, however, will delay implementation of the annual stress test requirements under the final rule for institutions with total consolidated assets of more than $10 billion but less than $50 billion until September 30, 2013. The final rule requirement for public disclosure of a summary of the stress testing results for these institutions will be implemented starting with the 2014 stress test, with the disclosure occurring during the period starting June 15 and ending June 30 of 2015.","2015/01/01 - Effective Date of Final Rule
2014/11/21 - Final Rule
2014/09/02 - Comment Deadline for Proposed Rule (Amendments)
2014/07/01 - Proposed Rule (Amendments)
2012/10/15 - Final Rule and Effective Date of Final Rule
2012/04/30 - Comment Deadline for Proposed Rule
2012/01/23 - Proposed Rule","2014/11/21 FDIC Final Rule Annual Stress Test (Effective January 1, 2015)
2012/10/15 FDIC Final Rule Annual Stress Test (Effective October 15, 2012) (Compliance dates vary)","2014/07/01 FDIC Proposed Rule Annual Stress Test (Comments due by September 2, 2014)
2012/01/23 FDIC Proposed Rule Annual Stress Tests (Comment deadline extended to April 30, 2012; comments originally due by March 23, 2012)",73,,208
11,"Resolution Plans
[DPW Note: The Proposed Rule will be addressed in two separate Final Rules.  See related row.]",Systemic Risk Regulation,"Federal Reserve
FDIC",165(d),"12 CFR Part 243
RIN 7100-AD73
12 CFR Parts 225, 360
RIN 3064-AD77","The Federal Reserve and the FDIC are adopting this final rule to implement the requirement in section 165(d)(1) of the Dodd-Frank Act regarding resolution plans. Section 165(d)(1) requires each nonbank financial company supervised by the Board and each bank holding company with assets of $50 billion or more to report periodically to the Board, the Corporation, and the FSOC the plan of such company for rapid and orderly resolution in the event of material financial distress or failure.  The FDIC is also adopting a final rule requiring an insured depository institution with $50 bilion or more in total assets to submit periodically to the FDIC a contingent plan for the resolution of such institution in the event of its failure.  The Rule establishes the requirements for submission and content of a Resolution Plan, as well as procedures for review by the FDIC.","2012/04/01 - Effective Date of FDIC Final Rule
2012/01/23 - FDIC Final Rule
2012/01/01 - Effective Date of FDIC Interim Final Rule
2011/11/30 - Effective Date of Fed/FDIC Joint Final Rule
2011/11/21 - Comment Deadline for FDIC Interim Final Rule
2011/11/01 - Fed/FDIC Joint Final Rule
2011/09/13 - FDIC Interim Final Rule
2011/06/10 - Comment Deadline for Fed/FDIC Proposed Rule
2011/04/22 - Fed/FDIC Proposed Rule","2012/01/23 FDIC Final Rule Resolution Plans Required for Insured Depository Institutions with $50 Billion or More in Total Assets (Effective April 1, 2012)
2011/11/01 Fed/FDIC Final Rule Resolution Plans Required (Effective November 30, 2011) 
2011/09/21 FDIC Interim Final Rule Resolution Plans Required for Insured Depository Institutions with $50 Billion or More in Total Assets (Effective January 1, 2012) (Comments due by November 21, 2011)","2011/04/22 Fed/FDIC Proposed Rule Resolution Plans and Credit Exposure Reports Required (Comments due by June 10, 2011) (Fed Commentary Page) (FDIC Commentary Page)",67,,175
12,Single-Counterparty Credit Limits for Large Banking Organizations,Systemic Risk Regulation,Federal Reserve,165,"12 CFR Part 252
RIN 7100 AD-86","The Fed is inviting comment on proposed rules that would establish single-counterparty credit limits for domestic and foreign bank holding companies with $50 billion or more in total consolidated assets. The proposed rules would implement section 165(e) of the Dodd-Frank Act, which requires the Fed to impose limits on the amount of credit exposure that such a domestic or foreign bank holding company can have to an unaffiliated company in order to reduce the risks arising from the company’s failure. The proposed rules, which build on earlier proposed rules by the Fed to establish single-counterparty credit limits for large domestic and foreign banking organizations, would increase in stringency based on the systemic importance of the firms to which they apply.","2016/06/03 - Comment Deadline for Re-Proposed Rule
2016/03/04 - Re-Proposed Rule
2013/04/30 - Comment Deadline for Proposed Rule (Foreign)
2012/12/28 - Proposed Rule (Foreign)
2012/03/31 - Comment Deadline for Proposed Rule (Domestic)
2012/01/05 - Proposed Rule (Domestic)",,"2016/03/04 Fed Proposed Rule Single-Counterparty Credit Limits for Large Banking Organizations (Comments due by June 3, 2016)
2012/12/28 Fed Proposed Rule Enhanced Prudential Standards and Early Remediation Requirements for Foreign Banking Organizations and Foreign Nonbank Financial Companies (Comment deadline extended to April 30, 2013; comments originally due by March 31, 2013)
2012/01/05 Fed Proposed Rule Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies (Comment deadline extended to April 30, 2012; comments originally due by March 31, 2012) (Federal Advisory Council Views)",69,,197
13,Annual Stress Tests,Systemic Risk Regulation,OCC,165(i),"12 CFR Part 46
RIN 1557-AD58","This final rule implements section 165(i) of the Dodd-Frank Act, which requires certain companies to conduct annual stress tests pursuant to regulations prescribed by their respective primary financial regulatory agencies. Specifically, this final rule requires national banks and Federal savings associations with total consolidated assets of more than $10 billion (""covered institutions"") to conduct an annual stress test as prescribed by this rule. In addition to the annual stress test requirement, such institutions would be subject to certain reporting and disclosure requirements. Under the final rule covered institutions are divided into two categories: covered institutions with total consolidated assets between $10 and $50 billion, and covered institutions with total consolidated assets over $50 billion. Based on these categories, covered institutions are subject to different stress test requirements and deadlines for reporting and disclosures.","2014/09/02 - Comment Deadline for Proposed Rule (Amendments)
2014/07/01 - Proposed Rule (Amendments)
2012/10/09 - Final Rule and Effective Date of Final Rule 
2012/04/30 - Comment Deadline for Proposed Rule
2012/01/24 - Proposed Rule","2012/10/09 OCC Final Rule Annual Stress Test (Effective October 9, 2012) (Compliance dates vary)","2014/07/01 OCC Proposed Rule Annual Stress Test - Schedule Shift and Adjustments to Regulatory Capital Projections (Comments due by September 2, 2014)
2012/01/24 OCC Proposed Rule Annual Stress Tests (Comment deadline extended to April 30, 2012; comments originally due by March 26, 2012)",73,,210
14,Stress Testing of Regulated Entities,Systemic Risk Regulation,FHFA,165(i),"12 CFR Part 1238
RIN 2590-AA47","This final rule implements section 165(i)(2) of the Dodd-Frank Act and requires Fannie Mae, Freddie Mac, and each of the twelve Federal Home Loan Banks that has total consolidated assets of more than $10 billion to conduct annual stress tests to determine whether the companies have the capital necessary to absorb losses as a result of adverse economic conditions. The rule reflects the FHFA's supervisory judgment after considering public comments and is grounded in its regulatory and supervisory authority and obligation to ensure the safety and soundness of the regulated entities under the Federal Housing Enterprises Financial Safety and Soundness Act of 1992, as amended and the Federal Home Loan Bank Act, as amended. In accordance with section 165(i)(2)(C) of the Dodd-Frank Act, FHFA has coordinated with the Board of Governors of the Federal Reserve System and the Federal Insurance Office.","2013/10/28 - Effective Date of Final Rule
2013/09/26 - Final Rule
2012/12/04 - Comment Deadline for Proposed Rule
2012/10/05 - Proposed Rule","2013/09/26 FHFA Final Rule Stress Testing of Regulated Entities (Effective October 28, 2013)","2012/10/05 FHFA Proposed Rule Stress Testing of Regulated Entities (Comment deadline extended to December 4, 2012; comments originally due by November 5, 2012)",73,,246
15,"Annual Company-Run Stress Test Requirements for Banking Organizations with Total Consolidated Assets over $10 Billion Other than Covered Companies
[DPW Note: The Proposed Rule will be addressed in separate Final Rules. See related row.]",Systemic Risk Regulation,Federal Reserve,165,"12 CFR Part 252
RIN 7100 AD-86","The Dodd-Frank Act requires the Board to issue regulations that require financial companies with total consolidated assets of more than $10 billion and for which the Board is the primary federal financial regulatory agency to conduct stress tests on an annual basis. The Board is adopting this final rule to implement the company-run stress test requirements in section 165(i)(2) of the Dodd-Frank Act regarding company-run stress tests for bank holding companies with total consolidated assets greater than $10 billion but less than $50 billion and state member banks and savings and loan holding companies with total consolidated assets greater than $10 billion. This final rule does not apply to any banking organization with total consolidated assets of less than $10 billion. Furthermore, implementation of the stress testing requirements for bank holding companies, savings and loan holding companies, and state member banks with total consolidated assets of greater than $10 billion but less than $50 billion is delayed until September 2013.","2013/11/25 - Comment Deadline for Interim Final Rule
2013/09/30 - Effective Date of Interim Final Rule
2013/09/30 - Interim Final Rule
2012/11/15 - Effective Date of Final Rule
2012/10/12 - Final Rule
2012/03/31 - Comment Deadline for Proposed Rule
2012/01/05 - Proposed Rule","2013/09/30 Fed Interim Final Rule Annual Company-Run Stress Tests at Banking Organizations with Total Consolidated Assets of More than $10 Billion but Less Than $50 Billion; One-Year Transition Period to Revised Regulatory Capital Framework for 2013-2014 Stress Test Cycle (Effective September 30, 2013) (Comments due by November 25, 2013)
2012/10/12 Fed Final Rule Annual Company-Run Stress Test Requirements for Banking Organizations with Total Consolidated Assets over $10 Billion Other than Covered Companies (Effective November 15, 2012) (Compliance dates vary)","2012/01/05 Fed Proposed Rule Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies (Comment deadline extended to April 30, 2012; comments originally due by March 31, 2012)",73,,247
16,"Supervisory and Company-Run Stress Test Requirements for Covered Companies
[DPW Note: The Proposed Rule will be addressed in separate Final Rules. See related row.]",Systemic Risk Regulation,Federal Reserve,165,"12 CFR Part 252
RIN 7100 AD-86","The Dodd-Frank Act requires the Board to conduct annual stress tests of bank holding companies with total consolidated assets of $50 billion or more and nonbank financial companies the FSOC designates for supervision by the Board and also requires the Board to issue regulations that require covered companies to conduct stress tests semi-annually. The Board is adoption this final rule to implement the stress test requirements for covered companies established in section 165(i)(1) and (2) of the Dodd-Frank Act. This final rule does not apply to any banking organization with total consolidated assets of less than $50 billion. Furthermore, implementation of the stress testing requirements for bank holding companies that did not participate in the Supervisory Capital Assessment Program is delayed until September 2013.","2014/11/26 - Effective Date of Final Rule
2014/10/27 - Final Rule
2014/08/11 - Comment Deadline for Proposed Rule (Amendments)
2014/07/01 - Proposed Rule (Amendments)
2014/04/15 - Effective Date of Final Rule
2014/03/11 - Final Rule
2013/11/25 - Comment Deadline for Interim Final Rule
2013/09/30 - Effective Date of Interim Final Rule
2013/09/30 - Interim Final Rule
2012/11/15 - Effective Date of Final Rule
2012/10/12 - Final Rule
2012/03/31 - Comment Deadline for Proposed Rule
2012/01/05 - Proposed Rule","2014/10/27 Fed Final Rule Amendments to the Capital Plan and Stress Test Rules (Effective November 26, 2014) (Correction)
2014/03/11 Fed Final Rule Regulations Y and YY: Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules (Effective April 15, 2014)
2013/09/30 Fed Interim Final Rule Regulations Y and YY: Application of the Revised Capital Framework to the Capital Plan and Stress Test Rules (Effective September 30, 2013) (Comments due by November 25, 2013)
2012/10/12 Fed Final Rule Supervisory and Company-Run Stress Test Requirements for Covered Companies (Effective November 15, 2012) (Compliance dates vary)","2014/07/01 Fed Proposed Rule Amendments to the Capital Plan and Stress Test Rules (Comments due by August 11, 2014)
2012/01/05 Fed Proposed Rule Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies (Comment deadline extended to April 30, 2012; comments originally due by March 31, 2012)",73,,248
17,"Liquidity Coverage Ratio: Liquidity Risk Measurement, Standards, and Monitoring
[DPW Note: See related row.]",Systemic Risk Regulation,"FDIC
Federal Reserve
OCC",165,"12 CFR Parts 50, 249 and 329","The OCC, Federal Reserve, and the FDIC are requesting comment on a proposed rule that would implement a quantitative liquidity requirement consistent with the liquidity coverage ratio standard established by the Basel Committee on Banking Supervision. The requirement is designed to promote the short-term resilience of the liquidity risk profile of internationally active banking organizations, thereby improving the banking sector's ability to absorb shocks arising from financial and economic stress, as well as improvements in the measurement and management of liquidity risk. The proposed rule would apply to all internationally active banking organizations, generally, bank holding companies, certain savings and loan holding companies, and depository institutions with more than $250 billion in total assets or more than $10 billion in on-balance sheet foreign exposure and to their consolidated subsidiaries that are depository institutions with $10 billion or more in total consolidated assets. The proposed rule would also apply to companies designated for supervision by the FSOC under section 113 of the Dodd-Frank Act that do not have significant insurance operations and to their consolidated subsidiaries that are depository institutions with $10 billion or more in total consolidated assets. The Fed also is proposing on its own a modified liquidity coverage ratio standard that is based on a 21-calendar day stress scenario rather than a 30-calendar day stress scenario for bank holding companies and savings and loan holding companies without significant insurance or commercial operations that, in each case, have $50 billion or more in total consolidated assets.","2015/01/01 - Effective Date of Final Rule
2014/09/03 - Final Rule
2014/01/31 - Comment Deadline for Proposed Rule
2013/11/29 - Proposed Rule","2014/09/03 FDIC/Fed/OCC Final Rule Liquidity Coverage Ratio: Liquidity Risk Measurement Standards (Effective January 1, 2015)","2013/11/29 FDIC/Fed/OCC Proposed Rule Liquidity Coverage Ratio: Liquidity Risk Measurement, Standards, and Monitoring (Comments due by January 31, 2014)","64
65",,283
18,Enhanced Prudential Standards for Bank Holding Companies and Foreign Banking Organizations,Systemic Risk Regulation,Federal Reserve,"165
166","12 CFR Part 252
RIN 7100 AD-86","The Federal Reserve is adopting amendments to Regulation YY (12 CFR part 252) to implement certain of the enhanced prudential standards required to be established under section 165 of the Dodd-Frank Act for bank holding companies and foreign banking organizations with total consolidated assets of $50 billion or more. The enhanced prudential standards include risk-based and leverage capital requirements, liquidity standards, requirements for overall risk management (including establishing a risk committee), stress-test requirements, and a 15-to-1 debt-to-equity limit for companies that the FSOC has determined pose a grave threat to financial stability. The amendments also establish risk-committee requirements and capital stress-testing requirements for certain bank holding companies and foreign banking organizations with total consolidated assets of $10 billion or more. The rule does not impose enhanced prudential standards on nonbank financial companies designated by the FSOC for supervision by the Federal Reserve.","2014/06/01 - Effective Date of Final Rule
2014/05/27 - Comment Deadline for Final Rule: Paperwork Reduction Act
2014/03/27 - Final Rule
2013/04/30 - Comment Deadline for Proposed Rule (Foreign)
2012/12/28 - Proposed Rule (Foreign)
2012/04/30 - Comment Deadline for Proposed Rule (Domestic)
2012/01/05 - Proposed Rule (Domestic)","2014/03/27 Fed Final Rule and Comment Request Enhanced Prudential Standards for Bank Holding Companies and Foreign Banking Organizations (Effective June 1, 2014) (Comments on the Paperwork Reduction Act due by May 27, 2014)","2012/12/28 Fed Proposed Rule Enhanced Prudential Standards and Early Remediation Requirements for Foreign Banking Organizations and Foreign Nonbank Financial Companies (Comment deadline extended to April 30, 2013; comments originally due by March 31, 2013)
2012/01/05 Fed Proposed Rule Enhanced Prudential Standards and Early Remediation Requirements for Covered Companies (Comment deadline extended to April 30, 2012; comments originally due by March 31, 2012)","64
65
72
73
74
77",,293
19,"Net Stable Funding Ratio: Liquidity Risk Measurement Standards and Disclosure Requirements
[DPW Note: See related row.]",Systemic Risk Regulation,"FDIC
Federal Reserve
OCC",165,"12 CFR Parts 50, 249 and 329","The Office of the Comptroller of the Currency (OCC), the Board of Governors of the Federal Reserve System (Board), and the Federal Deposit Insurance Corporation (FDIC) are inviting comment on a proposed rule (proposed rule) that would implement a stable funding requirement, the net stable funding ratio (NSFR), for large and internationally active banking organizations. The proposed NSFR requirement is designed to reduce the likelihood that disruptions to a banking organization’s regular sources of funding will compromise its liquidity position, as well as to promote improvements in the measurement and management of liquidity risk. The proposed rule would also amend certain definitions in the liquidity coverage ratio rule that are also applicable to the NSFR. The proposed NSFR requirement would apply beginning on January 1, 2018, to bank holding companies, certain savings and loan holding companies, and depository institutions that, in each case, have $250 billion or more in total consolidated assets or $10 billion or more in total on-balance sheet foreign exposure, and to their consolidated subsidiaries that are depository institutions with $10 billion or more in total consolidated assets. In addition, the Board is proposing a modified NSFR requirement for bank holding companies and certain savings and loan holding companies that, in each case, have $50 billion or more, but less than $250 billion, in total consolidated assets and less than $10 billion in total on-balance sheet foreign exposure. Neither the proposed NSFR requirement nor the proposed modified NSFR requirement would apply to banking organizations with consolidated assets of less than $50 billion and total on-balance sheet foreign exposure of less than $10 billion. A bank holding company or savings and loan holding company subject to the proposed NSFR requirement or modified NSFR requirement would be required to publicly disclose the company’s NSFR and the components of its NSFR each calendar quarter.","2016/08/05 - Comment Deadline for Proposed Rule
 
2016/06/01 - Proposed Rule",,"2016/06/01 FDIC/Fed/OCC Proposed Rule Net Stable Funding Ratio: Liquidity Risk Measurement Standards and Disclosure Requirements (Comments due by August 5, 2016)","64
65",,326
20,Restrictions on Qualified Financial Contracts of U.S. GSIBs and U.S. Operations of Foreign GSIBs; Revisions to the Definition of Qualifying Master Netting Agreement,Systemic Risk Regulation,Federal Reserve,165,"12 CFR Parts 217, 249 and 252","The Board is inviting comment on a proposed rule to promote U.S. financial stability by improving the resolvability and resilience of systemically important U.S. banking organizations and systemically important foreign banking organizations pursuant to section 165 of the Dodd-Frank Wall Street Reform and Consumer Protection Act (Dodd-Frank Act). Under the proposed rule, any U.S. top-tier bank holding company identified by the Board as a global systemically important banking organization (GSIB), the subsidiaries of any U.S. GSIB (other than national banks and federal savings associations), and the U.S. operations of any foreign GSIB (other than national banks and federal savings associations) would be subjected to restrictions regarding the terms of their non-cleared qualified financial contracts (QFCs). First, a covered entity would generally be required to ensure that QFCs to which it is party, including QFCs entered into outside the United States, provide that any default rights and restrictions on the transfer of the QFCs are limited to the same extent as they would be under the Dodd-Frank Act and the Federal Deposit Insurance Act. Second, a covered entity would generally be prohibited from being party to QFCs that would allow a QFC counterparty to exercise default rights against the covered entity based on the entry into a resolution proceeding under the Dodd-Frank Act, Federal Deposit Insurance Act, or any other resolution proceeding of an affiliate of the covered entity. The proposal would also amend certain definitions in the Board’s capital and liquidity rules; these amendments are intended to ensure that the regulatory capital and liquidity treatment of QFCs to which a covered entity is party is not affected by the proposed restrictions on such QFCs. The Office of the Comptroller of the Currency is expected to issue a proposed rule that would subject national banks and federal savings associations that are GSIB subsidiaries to requirements substantively identical to those proposed here.","2016/08/05 - Comment Deadline for Proposed Rule
2016/05/11 - Proposed Rule",,"2016/05/11 Fed Proposed Rule Restrictions on Qualified Financial Contracts of Systemically Important U.S. Banking Organizations and the U.S. Operations of Systemically Important Foreign Banking Organizations; Revisions to the Definition of Qualifying Master Netting Agreement and Related Definitions (Comments due by August 5, 2016)","75
83
92
1426",,327
21,Enhanced Prudential Standards for Systemically Important Insurance Companies,Required Rulemaking: Risk Committee,Federal Reserve,165,12 CFR Part 252,"Pursuant to section 165 of the Dodd-Frank Act, the Federal Reserve is inviting public comment on the proposed application of enhanced prudential standards to certain nonbank financial companies that the FSOC has determined should be supervised by the Board. The Board is proposing corporate governance, risk-management, and liquidity risk-management standards that are tailored to the business models, capital structures, risk profiles, and systemic footprints of the nonbank financial companies with significant insurance activities.","2016/08/17 - Comment Deadline for Fed Proposed Rule
2016/06/14 - Fed Proposed Rule",,"2016/06/14 Fed Proposed Rule Enhanced Prudential Standards for Systemically Important Insurance Companies (Comments due by August 17, 2016)",72,,330
22,Liquidity Coverage Ratio: Treatment of U.S. Municipal Securities as High-Quality Liquid Assets,Systemic Risk Regulation,Federal Reserve,"165(b)
171(b)(1)-(2)",,"The Federal Reserve is adopting a final rule that amends the Board's liquidity coverage ratio rule and modified liquidity coverage ratio rule (together, LCR rule) to include certain U.S. municipal securities as high-quality liquid assets (HQLA). This final rule includes as level 2B liquid assets under the LCR rule general obligation securities of a public sector entity (i.e., securities backed by the full faith and credit of a U.S. state or municipality) that meet similar criteria as corporate debt securities that are included as level 2B liquid assets, subject to limitations that are intended to address the structure of the U.S. municipal securities market. The final rule applies to all Board-regulated institutions that are subject to the LCR rule: (1) Bank holding companies, certain savings and loan holding companies, and state member banks that, in each case, have $250 billion or more in total consolidated assets or $10 billion or more in on-balance sheet foreign exposure; (2) state member banks with $10 billion or more in total consolidated assets that are consolidated subsidiaries of bank holding companies described in (1); (3) nonbank financial companies designated by the Financial Stability Oversight Council for Board supervision to which the Board has applied the LCR rule by separate rule or order; and (4) bank holding companies and certain savings and loan holding companies, in each case with $50 billion or more in total consolidated assets, but that do not meet the thresholds described in (1) through (3), which are subject to the Board's modified liquidity coverage ratio rule.","2016/07/01 - Effective Date of Final Rule
2016/04/11 - Final Rule
2015/07/24 - Comment Deadline for Proposed Rule
2015/05/21 - Proposed Rule","2016/04/11 - Fed Final Rule Liquidity Coverage Ratio: Treatment of U.S. Municipal Securities as High-Quality Liquid Assets (Effective July 1, 2016)","2015/05/21 Fed Proposed Rule Liquidity Coverage Ratio: Treatment of U.S. Municipal Securities as High-Quality Liquid Assets (Comments due by July 24, 2015)","65
83",,325
23,"Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and their Subsidiary Insured Depository Institutions",Collins Amendment,"FDIC
Federal Reserve
OCC",171,"12 CFR Parts 6, 208, 217 and 324
RIN 1557-AD69
RIN 7100-AD
RIN 3064-AE01","The OCC, the Federal Reserve, and the FDIC are adopting a final rule that strengthens the agencies' supplementary leverage ratio standards for large, interconnected U.S. banking organizations. The final rule applies to any U.S. top-tier bank holding company (BHC) with more than $700 billion in total consolidated assets or more than $10 trillion in assets under custody and any insured depository institution subsidiary of these BHCs. In the revised capital regulations adopted by the agencies in July 2013, the agencies established a minimum supplementary leverage ratio of 3 percent, consistent with the minimum leverage ratio adopted by the Basel Committee on Banking Supervision, for banking organizations subject to the agencies' advanced approaches risk-based capital rules. The final rule establishes enhanced supplementary leverage ratio standards for covered BHCs and their subsidiary IDIs. Under the final rule, an IDI that is a subsidiary of a covered BHC must maintain a supplementary leverage ratio of at least 6 percent to be well capitalized under the agencies' prompt corrective action framework. The Fed also is adopting in the final rule a supplementary leverage ratio buffer for covered BHCs of 2 percent above the minimum supplementary leverage ratio requirement of 3 percent. The leverage buffer functions like the capital conservation buffer for the risk-based capital ratios in the 2013 revised capital rule. A covered BHC that maintains a leverage buffer of tier 1 capital in an amount greater than 2 percent of its total leverage exposure is not subject to limitations on distributions and discretionary bonus payments under the final rule. Elsewhere in today's Federal Register, the agencies are proposing changes to the 2013 revised capital rule's supplementary leverage ratio, including changes to the definition of total leverage exposure, which would apply to all advanced approaches banking organizations and thus, if adopted, would affect banking organizations subject to this final rule.","2018/01/01 - Effective Date of Final Rule
2014/05/01 - Final Rule
2013/10/21 - Comment Deadline for Proposed Rule
2013/08/20 - Proposed Rule","2014/05/01 FDIC/Fed/OCC Final Rule Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and their Subsidiary Insured Depository Institutions (Effective January 1, 2018)","2013/08/20 FDIC/Fed/OCC Proposed Rule Regulatory Capital Rules: Regulatory Capital, Enhanced Supplementary Leverage Ratio Standards for Certain Bank Holding Companies and their Subsidiary Insured Depository Institutions (Comments due by October 21, 2013)","75
83
92",,275
